alunoId,cursos
1792345,123396|123397|124593
1808284,123396|123522|123514
1039693,124
1075743,124
1075745,124
1075868,124224|123328|10004|124157|124090
1076328,124
1076425,124224|123328
1117156,124
1120709,124
1156355,124
1198304,124224|123557|920089
1228479,124224|920090
1239910,124
1266074,124224|920090
1268321,124
1273987,124224|10006|123328|124421|920089|920083|920085|920087
1274049,124224|10004|124765
1274349,124
1274438,124224|920089
1275216,124
1275838,124
1278086,124
1504872,124224|122180
1702107,124
1712966,124
1712998,124224|124317
1712999,124
1713089,124
1713093,124224|920085|920090
1713199,124224|920083|920090|920090|920087
1713418,124
1713420,124
1714715,124
1714906,124
1727468,124224|123328|124154|124172
1728136,124
1728232,124224|920089|920090
1728265,124224|124489|123328|123328|920089|920083|123685|920085|920085|920085|920090|920090|920090|920081|920081|920091|124764|920087|920087
1728305,124224|920094|920089|920089|920090|123487
1730499,124
1734592,124224|123328
1735080,124224|123279|124603
1739009,124
1746172,124
1746316,124
1760598,124
1768456,124
1768500,124224|124640
1768511,124
1768616,124224|11119
1769344,124
1772273,124
1773821,124224|124571|123328|124212|123807|123844|122060|920080|123616|124579|920089|124266|920082|124562|124695|920090|121715|123614|920092|124637|120808|123260|124490|124354|124466|124154|124172|122180
1776510,124224|123487
1782166,124
1785918,124
1785925,124
1785931,124
1785933,124
1785956,124
1789902,124
1790914,124224|123056|124168|120808
1791494,124224|122180
1791690,124
1791691,124
1792478,124
1795263,124
1795265,124224|120344
1795293,124224|124186
1795295,124
1798097,124224|123688|920083|123465|122180
1802150,124224|123328
1802153,124224|123328|10004|10007
1802184,124224|10006|920094|123851|920083|920085|920088|920088
1802216,124
1802259,124224|920080|122291
1802266,124224|123328
1806527,124
1806529,124224|123707
1806693,124224|123328|124603
1806727,124
1807202,124224|123735|920081|122291|123359|124129|123438|123072
1807240,124224|124328|123328|124421|920094|920080|920089|920082|10004|920083|10005|920084|920085|920090|920081|920091|920091|920092|920086|920087|920088
1807650,124224|123328
1807868,124224|122180
1808250,124224|123056|124367|124186|920090
1808361,124224|920081|122180
1808885,124
1810665,124
1810998,124
1811783,124224|124347
1813537,124
1813902,124
1814309,124
1814453,124224|920083|920088
1814609,124
360847,1242
1136518,125
1138138,125
1156729,125
1220501,125
1249524,124682|123881|920092|920086
1269712,125
1276711,125
1702008,124682|920094|920081|124354
1709932,125
1709974,125
1712358,124682|124669|920081|920092|920086
1721042,125
1721048,125
1721622,125
1724234,124682|120667|10007|10008|123916
1730250,124682|920081
1731237,124682|123750|124464|920092|920092|920092|124368
1734606,124682|124680|124464|124416|124563|124562|124603|124591|124606|124572|122180|124454
1739818,124682|123661|920081|920081|124203
1742533,125
1746502,125
1749092,124682|920113|920083|920092|124637|920086|920115|920088
1749296,124682|123869
1755154,125
1760275,125
1760789,124682|123611|124168|121761|920094|10004|120667|10005|920092|920086|123794
1770579,125
1770730,124682|124671|124372|123902
1771789,124682|123522|920081|920081|920092|920086
1772824,125
1792272,124682|124671|10005|10007|10008
1800368,125
1804504,124682|920081
1806236,125
1821261,125
1821985,125
1822239,125
1835696,125
1835703,125
1835736,125
1835742,125
1835764,125
1835769,125
1835799,125
1835823,125
1835984,125
1835993,125
362265,1247
374562,1247
415122,1247
426393,1247
431305,1247
431767,1247
471702,1247
517476,1247
602444,1247
616871,1247
860051,1247
873462,1247
934865,1247
1726109,124111|123735|920094|920080|124167|920089|920082|920083|920084|123231|920085|920090|920091|120808|121439|121440|920087|920088
1760128,124111|124179|124447
1773810,124111|124107|920094|124260|124372|124295|920080|124738|124738|920083|124423|124403|920090|920090|123053|123053|920081|123434|123434|10008|10008|124191|124758|124758|124125|124125|920091|920092|124248|920086|920086|920086|124875|124875|124368|124183|124338|124354|123487|123487|124379|124435|920087|124200|124154|920088|124253|124347|124113|120601|124859|124859
1107150,124111|920084|920085
1259010,124111|124111|123750|123649|920085|920090|920081|920081|920091|920087|920087|920088|920088|124253|124253
1721245,124111|124418|123116|124614|124689|920082|920082|124723|124597|124603|121439|121440|122180
1742108,124111|920094|920080|920082|920083|920085|920090|920081
1751866,124111|920082|920085|124636|920087|920088
1767986,124111|124421|123260
1768761,124111|124111|920094|920094|123417|123417|920089|920089|920089|920083|920083|920085|920085|920085|920090|920090|920090|123489|123489|920091|920086|123487|920087|920087|920088|920088
1770776,124111|10004|123868|123795
1795256,124111|123758|124167|10007
954229,124111|124079|124107|920094|920083|122181|920085|920090|920090|920090|920081|123434|124317|920088
1174919,124
1178680,123757|124733|124202|124182|123750|123611|123580|124564|124107|124112|123792|124367|123663|124372|124295|123235|123684|124695|124814|123691|123868|124179|124180|123574|123802|123798|124403|124384|123535|124020|124547|123856|124808|124338|124309|124379|123448|123927|123776|124172|123646|124376
1752428,123757|123782|123783|123738
1793987,123757|920094|920080|124547
1808936,123757|124179|124640|123880
897270,123757|123780|123792|920094|920080|920089|920082|123738|920083|920084|920085|920090|920081|123881|920091|920092|920086|920087|123776|920088|123226
1039501,124
1138144,124418|121166|920094|920080|920089|124621|920083|124270|920085|920081|120018|120292|920091|920087|920087|920088
1266071,124418|124603
1278157,124
1712021,124
1752872,124
1779696,124418|920089|920082|920091|121440|124482|123787
1815791,124418|124416|920076|124280|124587|121439|123795
1820176,124418|124418|124603|124603
1189230,124418|920080|920082|920085|920081|920091|124447
1247217,124418|920089|920087
1739242,124418|124268|920094|920080|920082|124403|920081|124358|920091|920092|920086|124148|123712
1759695,124418|123758|123750|124088|920094|124156|920082|123115|920083|920084|920090|920081|123434|123917|920087|920088|122876
1788443,124418|920103|920080|124603|124347
1820340,124418|920080
1828888,124733|920094|920080|920085|920090|123053|920091|124859
1835611,125
1110899,123758|123780|920089
1132473,123758|123750
1171345,124
1174356,123758|920094|123279|920089|124251|920084|920100|920085|920090|920091|920087
1196199,123758|123763|920095
1220151,123758|920080|124177
1252083,124
1258411,123758|920089|920082|920091
1266210,123758|123750|124451|124603|124547|920088
1266858,123758|920080|920089|123880
1271041,123758|124603
1277994,123758|122006|920080|920082|920083|920086
1278144,123758|123750|920089|920085|920091
1283922,123758|920094|920080|920089|920082|920083|920084|920085|920085|920090|920090|920081|920091|920086|920086|920087|123465|920088
1284364,123758|920089|10005|10008
1710222,124
1710492,123758|920089|920082|920084|920090|920081
1720805,123758|920089|920082|920083|920084|920081|920081|920091|123519
1730681,123758|920084|920091|920087
1731852,123758|123743|123525
1734847,123758|920082|920081|920087|920088
1735202,124
1742457,123758|920080|123086
1744784,124
1745526,123758|920082|123053
1745616,123758|123655|920094|123171|920080|920082|123738|920083|920081|920092|123359|920086|123732
